person_id,current_affiliation,oral_presentation_paper,share_of _publication,affiliation_hq_country,undergrad_uni,undergrad_country,
1,Google,1,0.5000000000,USA,University of California-Berkeley,USA,
2,University of California-Berkeley,1,0.5000000000,USA,University of Chicago,USA,
3,Princeton University,2,0.3333333333,USA,Peking University,China,
4,Princeton University,2,0.3333333333,USA,Tsinghua University,China,
5,Tencent,2,0.3333333333,China,Cornell University,UK,
6,Duke University,3,0.5000000000,USA,Tsinghua University ,China,
7,Facebook,3,0.5000000000,USA,Tsinghua University,China,
8,University of Tokyo,4,0.2500000000,Japan,Nanjing University,China,
9,University of Tokyo,4,0.2500000000,Japan,University of Tokyo,Japan,
10,University of Tokyo,4,0.2500000000,Japan,Tokyo Institute of Technology,Japan,
11,University of Tokyo,4,0.2500000000,Japan,University of Pretoria,South Africa,
12,Microsoft,5,0.2500000000,USA,University of Waterloo,Canada,
13,Microsoft,5,0.2500000000,USA,National Technical University of Athens,Greece,
14,Harvard University,5,0.2500000000,USA,Tel Aviv University,Israel,
15,Harvard University,5,0.2500000000,USA,Harvard University,USA,
16,Carnegie Mellon University,6,0.5000000000,USA,"University of Illinois, Urbana Champaign",USA,
17,Stanford,6,0.5000000000,USA,Stanford University,USA,
18,Cornell University,7,0.2500000000,USA,University of British Columbia,Canada,
19,AQR Capital Management,7,0.2500000000,USA,Tsinghua University,China,
20,Cornell University,7,0.2500000000,USA,University of Frankfurt,Germany,
21,Cornell University,7,0.2500000000,USA,Caltech,USA,
22,University of Texas-Austin,8,0.2500000000,USA,National Technical University of Athens,Greece,
23,Open University of Israel,8,0.2500000000,Israel,Open University of Israel,Israel,
24,Yale University,8,0.2500000000,USA,EPFL,Switzerland,
25,University of Texas-Austin,8,0.2500000000,USA,The Cooper Union for the Advancement of Science and Art,USA,
26,Carnegie Mellon University,9,0.5000000000,USA,Helsinki University of Technology,Finland,
27,Carnegie Mellon University,9,0.5000000000,USA,Rutgers University,USA,
28,University of Washington,10,0.5000000000,USA,Korea Advanced Institute of Science and Technology,Korea,
29,University of Washington,10,0.5000000000,USA,Colorado State University,USA,
30,University of California-Berkeley,11,0.1111111111,USA,University of Western Australia,Australia,
31,Princeton University,11,0.1111111111,USA,TU Dresden,Germany,
32,Princeton University,11,0.1111111111,USA,Jadavpur University,India,
33,Tel Aviv University,11,0.1111111111,Israel,Technion,Israel,
34,University of California-Berkeley,11,0.1111111111,USA,Weizmann Institute,Israel,
35,University of California-Berkeley,11,0.1111111111,USA,Tel Aviv University,Israel,
36,Massachusetts Institute of Technology,11,0.1111111111,USA,Technion,Israel,
37,Princeton University,11,0.1111111111,USA,Gazi University,Turkey,
38,Princeton University,11,0.1111111111,USA,Yale University,USA,
39,University of Oxford,12,0.3333333333,UK,University of Padua,Israel,
40,University of Edinburgh,12,0.3333333333,UK,Sabanci University,Turkey,
41,University of Oxford,12,0.3333333333,UK,Imperial College London,UK,
42,University College London,13,0.2000000000,UK,Australian National University,Australia,
43,Ecole Polytechnique,13,0.2000000000,France,Eötvös Loránd University,Hungary,
44,Institute of Statistical Mathematics,13,0.2000000000,Japan,Kyoto University,Japan,
45,University College London,13,0.2000000000,UK,Temasek,Singapore,
46,University College London,13,0.2000000000,UK,Thammasat University,Thailand,
47,University of Illinois at Urbana-Champaign,14,0.2000000000,USA,University of Canberra,Australia,
48,University of Illinois at Urbana-Champaign,14,0.2000000000,USA,TU Munich,Germany,
49,University of Illinois at Urbana-Champaign,14,0.2000000000,USA,National Taiwan University,Taiwan,
50,University of Illinois at Urbana-Champaign,14,0.2000000000,USA,University of Illinois at Urbana-Champaign,USA,
51,IBM,14,0.2000000000,USA,University of Wisconsin-Madison,USA,
52,INRIA,15,0.5000000000,France,Roma TRE University,Italy,
53,University of Genoa,15,0.5000000000,Italy,Università degli Studi di Genova,Italy,
54,Google,16,0.2500000000,USA,RWTH Achen University,Germany,
55,Universitat de Valencia,16,0.2500000000,Spain,Universitat de Valencia,Spain,
56,New York University,16,0.2500000000,USA,Boston University,USA,
57,New York University,16,0.2500000000,USA,Harvard University,USA,
58,University of Southern California,17,0.1666666667,USA,National Technical University of Athens,Greece,
59,Purdue University,17,0.1666666667,USA,R. V. College of Engineering,India,
60,IBM,17,0.1666666667,USA,University of Warsaw,Poland,
61,Massachusetts Institute of Technology,17,0.1666666667,USA,University of Cambridge,UK,
62,Purdue University,17,0.1666666667,USA,Bard College,USA,
63,Massachusetts Institute of Technology,17,0.1666666667,USA,University of Washington,USA,
64,Universite de Montreal,18,0.3333333333,Canada,McGill University,Canada,
65,INRIA,18,0.3333333333,France,Ecole Polytechnique,France,
66,Higher School of Economics,18,0.3333333333,Russia,Lomonosov Moscow State University,Russia,
67,Duke University,19,0.1428571429,USA,Beihang University,China,
68,Hewlett Packard,19,0.1428571429,USA,Peking University,China,
69,"University of Nevada, Reno",19,0.1428571429,USA,Northeastern University,China,
70,Duke University,19,0.1428571429,USA,Beijing University of Technology,China,
71,Pittsburgh University,19,0.1428571429,USA,Chongqing University,China,
72,Duke University,19,0.1428571429,USA,Tsinghua University,China,
73,Duke University,19,0.1428571429,USA,Tsinghua University,China,
74,University of Oxford,20,0.2000000000,UK,University of Toronto,Canada,
75,Google,20,0.2000000000,USA,University of Waterloo,Canada,
76,Google,20,0.2000000000,USA,Harvey Mudd,USA,
77,Google,20,0.2000000000,USA,Stanford University,USA,
78,Google,20,0.2000000000,USA,Cornell University,USA,
79,Technion,21,0.3333333333,Israel,Technion,Israel,
80,Technion,21,0.3333333333,Israel,Technion,Israel,
81,Technion,21,0.3333333333,Israel,Technion,Israel,
82,Stanford,22,0.5000000000,USA,Korea Advanced Institute of Science and Technology,Korea,
83,Stanford,22,0.5000000000,USA,Stanford University,USA,
